"","Date","stock","value","change"
"95",2007-01-30,"GSPC",1428.819946,0.659288388741457
"96",2007-01-31,"MSFT",24.752805,-0.972136289200343
"97",2007-01-31,"IBM",82.074188,-0.151287515631603
"98",2007-01-31,"SBUX",16.00764,-1.51688818589122
"99",2007-01-31,"AAPL",11.341948,-1.15479280984184
"100",2007-01-31,"GSPC",1438.23999,0.535373168145607
"101",2007-02-01,"MSFT",24.512174,-1.21072900347395
"102",2007-02-01,"IBM",81.95002,0.171715638385444
"103",2007-02-01,"SBUX",15.764822,-0.406855212193326
"104",2007-02-01,"AAPL",11.210972,0.0118009392941067
"105",2007-02-01,"GSPC",1445.939941,0.169445073790922
"106",2007-02-02,"MSFT",24.215398,-1.92116602832627
"107",2007-02-02,"IBM",82.090741,1.22012664010429
"108",2007-02-02,"SBUX",15.700682,-0.729496973443581
"109",2007-02-02,"AAPL",11.212295,-0.955754374996367
"110",2007-02-02,"GSPC",1448.390015,-0.0966607740664323
"111",2007-02-05,"MSFT",23.75018,-0.337723756198905
"112",2007-02-05,"IBM",83.092352,-0.527993238174313
"113",2007-02-05,"SBUX",15.586146,-1.02881751524719
"114",2007-02-05,"AAPL",11.105133,0.250181605209046
"115",2007-02-05,"GSPC",1446.98999,0.0698007592989614
"116",2007-02-06,"MSFT",23.66997,-0.47441547243194
"117",2007-02-06,"IBM",82.65363,-0.0100406963372426
"118",2007-02-06,"SBUX",15.425793,0
"119",2007-02-06,"AAPL",11.132916,2.3767088514815
"120",2007-02-06,"GSPC",1448,0.139504143646404
"121",2007-02-07,"MSFT",23.557676,-0.374531851104499
"122",2007-02-07,"IBM",82.645331,0.0803711464353629
"123",2007-02-07,"SBUX",15.425793,-0.742496674239056
"124",2007-02-07,"AAPL",11.397513,0.0348321603142782
"125",2007-02-07,"GSPC",1450.02002,-0.117926716625611
"126",2007-02-08,"MSFT",23.469445,-0.956942100676014
"127",2007-02-08,"IBM",82.711754,-1.07408071650856
"128",2007-02-08,"SBUX",15.311257,-1.37641867026332
"129",2007-02-08,"AAPL",11.401483,-3.37665722959023
"130",2007-02-08,"GSPC",1448.310059,-0.707721384402813
"131",2007-02-09,"MSFT",23.244856,-0.138021934831517
"132",2007-02-09,"IBM",81.823363,0.0304399612614296
"133",2007-02-09,"SBUX",15.10051,-0.879857700170394
"134",2007-02-09,"AAPL",11.016494,1.93346449423928
"135",2007-02-09,"GSPC",1438.060059,-0.326138256232586
"136",2007-02-12,"MSFT",23.212773,0.589459949485569
"137",2007-02-12,"IBM",81.84827,-0.294178484163442
"138",2007-02-12,"SBUX",14.967647,-0.0306060130894318
"139",2007-02-12,"AAPL",11.229494,-0.212057640353168
"140",2007-02-12,"GSPC",1433.369995,0.75974905558142
"141",2007-02-13,"MSFT",23.349603,1.34436118678336
"142",2007-02-13,"IBM",81.60749,0.925828009169254
"143",2007-02-13,"SBUX",14.963066,2.08205992007254
"144",2007-02-13,"AAPL",11.205681,0.708381757431783
"145",2007-02-13,"GSPC",1444.26001,0.764407996036668
"146",2007-02-14,"MSFT",23.663506,0.204077958693019
"147",2007-02-14,"IBM",82.363035,-0.282256475857153
"148",2007-02-14,"SBUX",15.274606,-0.359924177422324
"149",2007-02-14,"AAPL",11.28506,-0.105511180268417
"150",2007-02-14,"GSPC",1455.300049,0.103759358837207
"151",2007-02-15,"MSFT",23.711798,-2.44399011833689
"152",2007-02-15,"IBM",82.13056,0.0707629413460632
"153",2007-02-15,"SBUX",15.219629,-0.632157327882299
"154",2007-02-15,"AAPL",11.273153,-0.445962189992453
"155",2007-02-15,"GSPC",1456.810059,-0.087178145987797
"156",2007-02-16,"MSFT",23.132284,0.313155415176471
"157",2007-02-16,"IBM",82.188678,0.363674179063941
"158",2007-02-16,"SBUX",15.123417,-0.575584208251345
"159",2007-02-16,"AAPL",11.222879,1.2613430118956
"160",2007-02-16,"GSPC",1455.540039,0.284431543555769
"161",2007-02-20,"MSFT",23.204724,1.80367583773029
"162",2007-02-20,"IBM",82.487577,-0.261703650235722
"163",2007-02-20,"SBUX",15.036369,-1.27969724605721
"164",2007-02-20,"AAPL",11.364438,3.84167699273823
"165",2007-02-20,"GSPC",1459.680054,-0.140445092359942
"166",2007-02-21,"MSFT",23.623262,0.136285158247824
"167",2007-02-21,"IBM",82.271704,-0.595413703841604
"168",2007-02-21,"SBUX",14.843949,1.88270654931514
"169",2007-02-21,"AAPL",11.801023,0.347537666861589
"170",2007-02-21,"GSPC",1457.630005,-0.0857556441423556
"171",2007-02-22,"MSFT",23.655457,-1.6672347526408
"172",2007-02-22,"IBM",81.781847,-0.781722379050698
"173",2007-02-22,"SBUX",15.123417,-0.787639460050597
"174",2007-02-22,"AAPL",11.842036,-0.491562430649594
"175",2007-02-22,"GSPC",1456.380005,-0.356367430353446
"176",2007-02-23,"MSFT",23.261065,0.588236179211914
"177",2007-02-23,"IBM",81.14254,-0.839046941345441
"178",2007-02-23,"SBUX",15.004299,-2.25954574752209
"179",2007-02-23,"AAPL",11.783825,-0.628717755058315
"180",2007-02-23,"GSPC",1451.189941,-0.125410599162916
"181",2007-02-26,"MSFT",23.397895,-4.12796535756742
"182",2007-02-26,"IBM",80.461716,-3.04406508059061
"183",2007-02-26,"SBUX",14.66527,-3.93626574894291
"184",2007-02-26,"AAPL",11.709738,-5.17456496464738
"185",2007-02-26,"GSPC",1449.369995,-3.47254021910396
"186",2007-02-27,"MSFT",22.432038,1.07642471005087
"187",2007-02-27,"IBM",78.012409,-1.0855657591602
"188",2007-02-27,"SBUX",14.088006,0.487805016550953
"189",2007-02-27,"AAPL",11.10381,0.810208387931711
"190",2007-02-27,"GSPC",1399.040039,0.556088945500158
"191",2007-02-28,"MSFT",22.673502,-0.28398789035765
"192",2007-02-28,"IBM",77.165533,-0.72090087163656
"193",2007-02-28,"SBUX",14.156728,-1.65048731599561
"194",2007-02-28,"AAPL",11.193774,2.89563644933336
"195",2007-02-28,"GSPC",1406.819946,-0.259443435556757
"196",2007-03-01,"MSFT",22.609112,-1.17479625029059
"197",2007-03-01,"IBM",76.609246,-1.48476725642228
"198",2007-03-01,"SBUX",13.923073,-1.67818555573185
"199",2007-03-01,"AAPL",11.517905,-1.89524917942977
"200",2007-03-01,"GSPC",1403.170044,-1.14027519817833
"201",2007-03-02,"MSFT",22.343501,-0.756488430349383
"202",2007-03-02,"IBM",75.471777,1.00109475360571
"203",2007-03-02,"SBUX",13.689418,-1.57295218832531
"204",2007-03-02,"AAPL",11.299612,1.06545251288275
"205",2007-03-02,"GSPC",1387.170044,-0.940767792416367
"206",2007-03-05,"MSFT",22.174475,1.01633522326909
"207",2007-03-05,"IBM",76.227321,2.1675259976669
"208",2007-03-05,"SBUX",13.47409,2.00611692515042
"209",2007-03-05,"AAPL",11.420004,2.16635650915708
"210",2007-03-05,"GSPC",1374.119995,1.54935806752452
"211",2007-03-06,"MSFT",22.399842,-0.790510040204748
"212",2007-03-06,"IBM",77.879568,0.14925352436469
"213",2007-03-06,"SBUX",13.744396,1.56666760765624
"214",2007-03-06,"AAPL",11.667402,-0.53293783826082
"215",2007-03-06,"GSPC",1395.410034,-0.246527036224537
"216",2007-03-07,"MSFT",22.222769,-1.05034615623282
"217",2007-03-07,"IBM",77.995806,-1.00064098318312
"218",2007-03-07,"SBUX",13.959725,0.754842949986475
"219",2007-03-07,"AAPL",11.605222,0.31919251523151
"220",2007-03-07,"GSPC",1391.969971,0.712662213027005
"221",2007-03-08,"MSFT",21.989353,-0.109807687383989
"222",2007-03-08,"IBM",77.215348,0.301073563768687
"223",2007-03-08,"SBUX",14.065099,-1.27036432519956
"224",2007-03-08,"AAPL",11.642265,-0.0340913043982392
"225",2007-03-08,"GSPC",1401.890015,0.0677621632107891
"226",2007-03-09,"MSFT",21.965207,0.549651091382841
